epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.81,2.54587,2.87399,2.53857,0.00333,1,0.09031,0.04266,1.25681,3.19837,2.36744,8e-05,8e-05,8e-05
2,202.195,1.94519,2.20154,1.94165,0.00333,1,0.04144,0.01163,2.39022,4.86095,3.00674,0.000178218,0.000178218,0.000178218
3,285.657,1.73992,1.99466,1.67158,0.00317,0.95,0.03163,0.0074,2.78177,4.00506,3.62019,0.000274456,0.000274456,0.000274456
4,375.06,1.3986,1.88825,1.41663,0.00317,0.95,0.03901,0.01227,2.61369,3.85045,3.60031,0.000368714,0.000368714,0.000368714
5,465.666,1.41402,1.74388,1.39487,0.00333,1,0.06345,0.0181,2.47848,3.90153,3.37114,0.000460992,0.000460992,0.000460992
6,554.227,1.29689,1.70357,1.36084,0.00267,0.8,0.05057,0.00875,3.4511,3.9097,4.38114,0.00055129,0.00055129,0.00055129
7,643.686,1.31175,1.58774,1.29977,0.0015,0.45,0.00306,0.00041,4.02761,4.56249,4.04462,0.000639608,0.000639608,0.000639608
8,735.24,1.33949,1.64538,1.30792,0.002,0.6,0.01859,0.00262,3.82228,4.50764,4.37088,0.000725946,0.000725946,0.000725946
9,824.633,1.24886,1.65207,1.29053,0.00283,0.85,0.06424,0.01103,3.56789,3.9067,3.96749,0.000810304,0.000810304,0.000810304
